model,prompt,story_id,topic_switch_rate,n_sentences
internvl3,original,9334,0.00335655979373772,6.0
internvl3,original,9418,0.23551270316138356,6.0
internvl3,original,9914,0.04297316857820298,5.0
internvl3,original,10408,0.2414487037321816,6.0
internvl3,original,10486,0.2454950098899166,6.0
internvl3,original,10499,0.3030241520059257,6.0
internvl3,original,11260,0.10959622537203359,6.0
internvl3,original,11340,0.007307206105773303,5.0
internvl3,original,11457,0.58721686656251,6.0
internvl3,original,11541,0.06127980671524789,5.0
internvl3,original,11543,0.14444589724769336,5.0
internvl3,original,11678,0.40732645305246173,5.0
internvl3,original,11719,0.012150936536624211,6.0
internvl3,original,12358,0.3950418928260909,5.0
internvl3,original,12423,0.3473694896907049,6.0
internvl3,original,13596,0.1384030339314723,5.0
internvl3,original,13683,0.05289628634575089,6.0
llama4scout,large,345,0.2185393588215641,6.0
llama4scout,large,515,0.6708153300205162,11.0
llama4scout,large,721,0.1584435956938461,5.0
llama4scout,large,723,0.11255928018849852,11.0
llama4scout,large,733,0.07993372712067505,7.0
llama4scout,large,948,0.3274378170178918,5.0
llama4scout,large,1111,0.1050825140669859,5.0
llama4scout,large,1201,0.27484985379443083,5.0
llama4scout,large,1214,0.556559555973797,6.0
llama4scout,large,1467,0.3603840472968955,6.0
llama4scout,large,2400,0.24677700018497517,5.0
llama4scout,large,2702,0.43258924177175045,6.0
llama4scout,large,2722,0.7098929277283728,5.0
llama4scout,large,2926,0.566674015424982,5.0
llama4scout,large,3230,0.5830541594597205,5.0
llama4scout,large,3295,0.4627959139249936,5.0
llama4scout,large,3761,0.35803996732364285,5.0
llama4scout,large,3891,0.5653304018245988,6.0
llama4scout,large,4047,0.2611410663906582,9.0
llama4scout,large,4173,0.5381586806232226,10.0
llama4scout,large,4797,0.5070717400764736,6.0
llama4scout,large,5047,0.18975111497325714,5.0
llama4scout,large,5062,0.7041114819554649,5.0
llama4scout,large,5201,0.02693952095260283,11.0
llama4scout,large,5265,0.5755781530505268,5.0
llama4scout,large,5349,0.531087586420149,7.0
llama4scout,large,5540,0.07707987162609091,5.0
llama4scout,large,5721,0.507848623750917,5.0
llama4scout,large,6111,0.03761747924841201,5.0
llama4scout,large,6215,0.31613882323436304,8.0
llama4scout,large,6729,0.3556932470649393,10.0
llama4scout,large,6847,0.6434459053251047,5.0
llama4scout,large,6878,0.301990741983457,6.0
llama4scout,large,6921,0.2314360190701909,7.0
llama4scout,large,7065,0.4541424400416445,6.0
llama4scout,large,7150,0.1954780809155869,7.0
