model,prompt,seed,doc,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
human,large,seed43,story_7065,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_7150,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_7195,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_721,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_723,3,8,0,0.0,0.35835739835078595
human,large,seed43,story_733,2,5,0,0.0,0.3799489622552249
human,large,seed43,story_7596,1,5,0,0.0,0.197375320224904
human,large,seed43,story_7702,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_8061,1,7,0,0.0,0.14189319376693255
human,large,seed43,story_8085,1,5,0,0.0,0.197375320224904
human,large,seed43,story_8154,2,5,0,0.0,0.3799489622552249
human,large,seed43,story_8551,2,7,0,0.0,0.27818549032570244
human,large,seed43,story_9334,1,5,0,0.0,0.197375320224904
human,large,seed43,story_9418,1,5,0,0.0,0.197375320224904
human,large,seed43,story_948,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_9914,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_10408,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_10486,3,5,0,0.0,0.5370495669980352
human,large,seed44,story_10499,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_1111,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_11260,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_11340,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_11457,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_11541,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_11543,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_11678,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_11719,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_1201,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_1214,1,5,0,0.0,0.197375320224904
human,large,seed44,story_12358,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_12423,1,5,0,0.0,0.197375320224904
human,large,seed44,story_13596,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_13683,2,5,0,0.0,0.3799489622552249
human,large,seed44,story_1467,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_2400,4,4,0,0.0,0.7615941559557649
human,large,seed44,story_2702,1,5,0,0.0,0.197375320224904
human,large,seed44,story_2722,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_2926,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_3230,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_3295,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_345,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_3761,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_3891,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_4047,4,7,0,0.0,0.5164076551851798
human,large,seed44,story_4173,3,7,0,0.0,0.4041267397578591
human,large,seed44,story_4797,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_5047,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_5062,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_515,2,8,0,0.0,0.24491866240370913
human,large,seed44,story_5201,4,8,0,0.0,0.46211715726000974
human,large,seed44,story_5265,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_5349,3,5,0,0.0,0.5370495669980352
human,large,seed44,story_5540,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_5721,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_6111,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_6215,2,6,0,0.0,0.32151273753163434
human,large,seed44,story_6729,6,8,0,0.0,0.6351489523872873
human,large,seed44,story_6847,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_6878,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_6921,2,6,0,0.0,0.32151273753163434
human,large,seed44,story_7065,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_7150,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_7195,1,4,0,0.0,0.24491866240370913
human,large,seed44,story_721,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_723,3,8,0,0.0,0.35835739835078595
human,large,seed44,story_733,3,5,0,0.0,0.5370495669980352
human,large,seed44,story_7596,1,5,0,0.0,0.197375320224904
human,large,seed44,story_7702,2,4,0,0.0,0.46211715726000974
human,large,seed44,story_8061,3,7,0,0.0,0.4041267397578591
human,large,seed44,story_8085,4,5,0,0.0,0.664036770267849
human,large,seed44,story_8154,2,5,0,0.0,0.3799489622552249
human,large,seed44,story_8551,4,7,0,0.0,0.5164076551851798
human,large,seed44,story_9334,3,5,0,0.0,0.5370495669980352
human,large,seed44,story_9418,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_948,3,4,0,0.0,0.6351489523872873
human,large,seed44,story_9914,3,4,0,0.0,0.6351489523872873
human,original,,story_10408,2,5,0,0.0,0.3799489622552249
human,original,,story_10486,3,5,0,0.0,0.5370495669980352
human,original,,story_10499,2,4,0,0.0,0.46211715726000974
human,original,,story_1111,2,4,0,0.0,0.46211715726000974
human,original,,story_11260,4,4,0,0.0,0.7615941559557649
human,original,,story_11340,2,4,0,0.0,0.46211715726000974
human,original,,story_11457,2,4,0,0.0,0.46211715726000974
human,original,,story_11541,2,4,0,0.0,0.46211715726000974
human,original,,story_11543,2,4,0,0.0,0.46211715726000974
human,original,,story_11678,2,4,0,0.0,0.46211715726000974
human,original,,story_11719,3,4,0,0.0,0.6351489523872873
human,original,,story_1201,4,4,0,0.0,0.7615941559557649
human,original,,story_1214,2,5,0,0.0,0.3799489622552249
