model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
internvl3,original,11543,3.0,4.0,0.0,0.0,0.6351489523872873
internvl3,original,11678,3.0,4.0,0.0,0.0,0.6351489523872873
internvl3,original,11719,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,original,1201,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,original,12358,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,original,12423,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,original,13596,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,original,13683,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,original,1467,3.0,5.0,0.0,0.0,0.5370495669980352
internvl3,original,2400,2.0,7.0,0.0,0.0,0.27818549032570244
internvl3,original,2702,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,original,2722,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,original,2926,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,original,3230,2.0,5.0,0.0,0.0,0.3799489622552249
