model,prompt,story_id,character_name,CharTr,CharRe,char_coherence
claude45,large,4173,mel,0.42857142857142855,0.7142857142857143,0.2969054468477651
claude45,large,2400,audrey,0.5,0.5,0.24491866240370913
claude45,large,2400,cary,0.5,0.5,0.24491866240370913
claude45,large,2400,george,0.0,0.0,0.0
claude45,large,2400,jacques,0.25,0.75,0.1853331999081395
claude45,large,2722,__NO_ANNOTATION__,,,
claude45,large,5062,__NO_ANNOTATION__,,,
claude45,large,1214,jack,0.6,1.0,0.5370495669980352
claude45,large,9914,matthew,0.0,0.0,0.0
claude45,large,9914,reese,0.0,0.5,0.0
claude45,large,515,bradley,0.0,0.25,0.0
claude45,large,515,christian,0.625,0.875,0.498174426229455
claude45,large,515,shea,0.5,0.875,0.41157005567402244
claude45,large,1467,anthony,0.5,0.5,0.24491866240370913
claude45,large,1467,rosario,0.0,0.0,0.0
claude45,large,13683,bill,0.6,0.6,0.3452140341355209
claude45,large,13683,tom,0.2,0.6,0.11942729853438588
claude45,large,6921,jude,0.0,0.0,0.0
claude45,large,6921,matt,0.16666666666666666,0.8333333333333334,0.13800266513638113
claude45,large,6921,philip,0.16666666666666666,0.6666666666666666,0.11065611052473799
claude45,large,5047,__NO_ANNOTATION__,,,
claude45,large,11543,__NO_ANNOTATION__,,,
claude45,large,7065,jude,0.25,0.75,0.1853331999081395
claude45,large,7065,matt,0.5,0.5,0.24491866240370913
claude45,large,1111,__NO_ANNOTATION__,,,
claude45,large,948,benjamin,0.25,0.25,0.062418746747512514
claude45,large,948,natalie,0.25,0.75,0.1853331999081395
claude45,large,948,vincent,0.0,1.0,0.0
claude45,large,9418,daniel,0.2,1.0,0.197375320224904
claude45,large,9418,gary,0.0,0.4,0.0
claude45,large,9418,john,0.0,0.0,0.0
claude45,large,3295,dane,0.5,1.0,0.46211715726000974
claude45,large,3295,demi,0.25,0.25,0.062418746747512514
claude45,large,3295,ruben,0.25,0.25,0.062418746747512514
claude45,large,7150,david,0.0,0.0,0.0
claude45,large,7150,eric,0.0,0.0,0.0
claude45,large,7150,mark,0.0,0.0,0.0
claude45,large,345,john,0.5,0.5,0.24491866240370913
claude45,large,11678,karen,0.0,0.0,0.0
claude45,large,11678,paul,0.0,0.0,0.0
claude45,large,11678,wolf,0.0,1.0,0.0
claude45,large,721,denzel,0.25,0.25,0.062418746747512514
claude45,large,721,mila,0.0,0.0,0.0
claude45,large,721,tom,0.0,0.0,0.0
claude45,large,733,gary,0.6,1.0,0.5370495669980352
claude45,large,733,jennifer,0.4,0.4,0.15864850429749894
claude45,large,7195,gerard,0.25,1.0,0.24491866240370913
claude45,large,7195,jennifer,0.0,1.0,0.0
claude45,large,11457,__NO_ANNOTATION__,,,
claude45,large,12358,__NO_ANNOTATION__,,,
claude45,large,13596,emile,1.0,1.0,0.7615941559557649
claude45,large,10499,al,1.0,1.0,0.7615941559557649
claude45,large,10499,robert,0.5,1.0,0.46211715726000974
claude45,large,10499,val,0.0,0.0,0.0
claude45,large,5721,__NO_ANNOTATION__,,,
claude45,large,5201,brian,0.0,0.75,0.0
claude45,large,5201,joan,0.125,0.875,0.10894092992085458
claude45,large,5201,julia,0.125,0.5,0.062418746747512514
claude45,large,5201,matt,0.0,0.0,0.0
claude45,large,8085,sam,0.0,0.0,0.0
claude45,large,2702,ben,0.8,0.8,0.5648995528462251
claude45,large,2702,lin,0.0,0.0,0.0
claude45,large,6878,robert,0.0,0.5,0.0
claude45,large,1201,__NO_ANNOTATION__,,,
claude45,large,5265,amy,0.5,1.0,0.46211715726000974
claude45,large,5265,christian,0.0,0.5,0.0
claude45,large,5540,__NO_ANNOTATION__,,,
claude45,large,5349,james,0.0,0.8,0.0
claude45,large,5349,kim,0.0,0.0,0.0
claude45,large,6215,jason,0.3333333333333333,0.3333333333333333,0.11065611052473799
claude45,large,6215,nick,0.0,0.0,0.0
claude45,large,3761,jeff,1.0,1.0,0.7615941559557649
claude45,large,3761,jim,1.0,1.0,0.7615941559557649
claude45,large,8154,angelina,0.0,0.4,0.0
claude45,large,8154,fisher,0.2,0.2,0.03997868031116358
claude45,large,8154,jonny,0.4,0.4,0.15864850429749894
claude45,large,8154,matthew,0.0,0.0,0.0
claude45,large,12423,jeff,0.2,1.0,0.197375320224904
claude45,large,12423,matt,0.0,0.4,0.0
claude45,large,4797,roger,0.0,0.0,0.0
claude45,large,4047,__NO_ANNOTATION__,,,
claude45,large,11541,__NO_ANNOTATION__,,,
