model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed43,3295,demi,0.5,1.0,0.4999999950000001
human,large,seed43,3295,ruben,0.5,0.5,0.9999999800000003
human,large,seed43,3230,jean,0.25,0.75,0.33333332888888895
human,large,seed43,3230,tom,0.25,0.25,0.9999999600000016
human,large,seed43,2926,charles,0.0,0.75,0.0
human,large,seed43,2926,jeff,0.5,1.0,0.4999999950000001
human,large,seed43,2926,jim,1.0,1.0,0.9999999900000002
human,large,seed43,2926,karen,0.25,0.75,0.33333332888888895
human,large,seed43,2722,__NO_ANNOTATION__,,,
human,large,seed43,2702,ben,0.8,0.8,0.9999999875000001
human,large,seed43,2400,audrey,0.25,0.75,0.33333332888888895
human,large,seed43,2400,cary,0.25,0.75,0.33333332888888895
human,large,seed43,2400,george,1.0,1.0,0.9999999900000002
human,large,seed43,2400,jacques,0.25,0.75,0.33333332888888895
human,large,seed43,1467,__NO_CHARACTER_MATCH__,,,
human,large,seed43,1214,jack,1.0,1.0,0.9999999900000002
human,large,seed43,1201,__NO_ANNOTATION__,,,
human,large,seed43,1111,__NO_ANNOTATION__,,,
human,large,seed43,948,ksenia,0.0,0.0,0.0
human,large,seed43,948,natalie,1.0,1.0,0.9999999900000002
human,large,seed43,948,vincent,0.75,0.75,0.9999999866666668
human,large,seed43,733,gary,0.6,1.0,0.599999994
human,large,seed43,733,jennifer,0.6,1.0,0.599999994
human,large,seed43,723,james,1.0,1.0,0.9999999900000002
human,large,seed43,721,denzel,0.25,0.25,0.9999999600000016
human,large,seed43,721,gary,0.0,0.0,0.0
human,large,seed43,721,tom,0.0,0.0,0.0
human,large,seed43,515,bradley,0.25,0.875,0.2857142824489796
human,large,seed43,515,christian,0.875,0.875,0.9999999885714287
human,large,seed43,515,shea,0.75,1.0,0.7499999925000002
human,large,seed43,345,connie,1.0,1.0,0.9999999900000002
human,large,seed43,345,john,0.25,0.75,0.33333332888888895
human,large,seed44,13683,bill,0.8,0.8,0.9999999875000001
human,large,seed44,13683,christian,0.0,0.0,0.0
human,large,seed44,13683,terence,0.0,0.0,0.0
human,large,seed44,13683,tom,1.0,1.0,0.9999999900000002
human,large,seed44,13596,emile,1.0,1.0,0.9999999900000002
human,large,seed44,12423,jeff,1.0,1.0,0.9999999900000002
human,large,seed44,12423,matt,0.0,0.8,0.0
human,large,seed44,12358,__NO_ANNOTATION__,,,
human,large,seed44,11719,billy,0.75,0.75,0.9999999866666668
human,large,seed44,11719,shia,1.0,1.0,0.9999999900000002
human,large,seed44,11678,karen,0.0,0.0,0.0
human,large,seed44,11678,paul,0.5,0.5,0.9999999800000003
human,large,seed44,11678,wolf,1.0,1.0,0.9999999900000002
human,large,seed44,11543,__NO_ANNOTATION__,,,
human,large,seed44,11541,__NO_ANNOTATION__,,,
human,large,seed44,11457,__NO_ANNOTATION__,,,
human,large,seed44,11340,brad,0.75,0.75,0.9999999866666668
human,large,seed44,11340,christoph,1.0,1.0,0.9999999900000002
human,large,seed44,11260,colin,1.0,1.0,0.9999999900000002
human,large,seed44,11260,jamie,1.0,1.0,0.9999999900000002
human,large,seed44,11260,john,1.0,1.0,0.9999999900000002
human,large,seed44,10499,al,0.5,1.0,0.4999999950000001
human,large,seed44,10499,robert,0.25,0.75,0.33333332888888895
human,large,seed44,10499,val,0.0,0.5,0.0
human,large,seed44,10486,robert,0.0,0.4,0.0
human,large,seed44,10486,val,0.6,1.0,0.599999994
human,large,seed44,10408,ashton,0.0,0.0,0.0
human,large,seed44,10408,greta,0.5,1.0,0.4999999950000001
human,large,seed44,10408,jake,0.5,1.0,0.4999999950000001
human,large,seed44,9914,reese,1.0,1.0,0.9999999900000002
human,large,seed44,9418,daniel,0.5,0.5,0.9999999800000003
human,large,seed44,9334,harrison,1.0,1.0,0.9999999900000002
human,large,seed44,8551,__NO_ANNOTATION__,,,
human,large,seed44,8154,angelina,0.2,0.6,0.33333332777777785
human,large,seed44,8154,fisher,0.2,0.2,0.9999999500000025
human,large,seed44,8085,brooke,0.4,0.8,0.49999999375000004
human,large,seed44,8085,linda,0.4,0.8,0.49999999375000004
human,large,seed44,8085,richard,0.6,1.0,0.599999994
human,large,seed44,8085,sam,0.2,0.2,0.9999999500000025
human,large,seed44,8061,ellen,0.5714285714285714,1.0,0.5714285657142858
human,large,seed44,8061,leonardo,0.42857142857142855,0.42857142857142855,0.9999999766666672
human,large,seed44,8061,robert,0.42857142857142855,0.7142857142857143,0.5999999916000001
human,large,seed44,7702,jude,0.75,0.75,0.9999999866666668
human,large,seed44,7702,nicole,0.5,0.5,0.9999999800000003
human,large,seed44,7596,kevin,0.4,0.4,0.9999999750000006
human,large,seed44,7596,william,0.0,0.8,0.0
human,large,seed44,7195,gerard,1.0,1.0,0.9999999900000002
human,large,seed44,7195,jennifer,0.25,0.75,0.33333332888888895
human,large,seed44,7150,david,0.25,0.25,0.9999999600000016
human,large,seed44,7150,eric,1.0,1.0,0.9999999900000002
human,large,seed44,7150,mark,0.0,0.0,0.0
human,large,seed44,7065,jude,1.0,1.0,0.9999999900000002
human,large,seed44,7065,matt,0.25,0.75,0.33333332888888895
human,large,seed44,6921,jude,0.5,1.0,0.4999999950000001
human,large,seed44,6921,matt,0.5,0.8333333333333334,0.5999999928
human,large,seed44,6878,robert,1.0,1.0,0.9999999900000002
human,large,seed44,6847,ben,1.0,1.0,0.9999999900000002
human,large,seed44,6847,cameron,0.0,0.75,0.0
human,large,seed44,6847,lin,0.25,0.25,0.9999999600000016
human,large,seed44,6729,frederic,0.25,0.5,0.49999999000000017
human,large,seed44,6729,martin,0.0,0.0,0.0
human,large,seed44,6215,jason,0.0,0.3333333333333333,0.0
human,large,seed44,6111,dexter,0.0,0.5,0.0
human,large,seed44,6111,jason,0.5,1.0,0.4999999950000001
human,large,seed44,6111,nick,0.5,1.0,0.4999999950000001
human,large,seed44,5721,__NO_ANNOTATION__,,,
human,large,seed44,5540,__NO_ANNOTATION__,,,
human,large,seed44,5349,james,1.0,1.0,0.9999999900000002
human,large,seed44,5349,kim,1.0,1.0,0.9999999900000002
human,large,seed44,5265,amy,0.5,1.0,0.4999999950000001
human,large,seed44,5265,christian,1.0,1.0,0.9999999900000002
human,large,seed44,5201,brian,0.25,0.75,0.33333332888888895
human,large,seed44,5201,joan,0.125,0.875,0.1428571412244898
human,large,seed44,5201,julia,0.125,0.5,0.24999999500000009
human,large,seed44,5201,matt,0.25,0.5,0.49999999000000017
