model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed44,5265,amy,0.5,1.0,0.46211715332777115
human,large,seed44,5265,christian,1.0,1.0,0.7615941517560215
human,large,seed44,5201,brian,0.25,0.75,0.32151273354661414
human,large,seed44,5201,joan,0.125,0.875,0.14189319216715082
human,large,seed44,5201,julia,0.125,0.5,0.24491865770363494
human,large,seed44,5201,matt,0.25,0.5,0.4621171493955325
human,large,seed44,5062,__NO_ANNOTATION__,,,
human,large,seed44,5047,__NO_ANNOTATION__,,,
human,large,seed44,4797,rene,0.0,0.0,0.0
human,large,seed44,4797,roger,0.0,0.0,0.0
human,large,seed44,4173,__NO_CHARACTER_MATCH__,,,
human,large,seed44,4047,__NO_ANNOTATION__,,,
human,large,seed44,3891,robert,0.0,0.0,0.0
human,large,seed44,3891,val,0.5,1.0,0.46211715332777115
human,large,seed44,3761,jeff,1.0,1.0,0.7615941517560215
human,large,seed44,3761,jim,1.0,1.0,0.7615941517560215
human,large,seed44,3295,dane,1.0,1.0,0.7615941517560215
human,large,seed44,3295,demi,0.5,0.5,0.7615941475562781
human,large,seed44,3230,jean,0.75,0.75,0.761594150356107
human,large,seed44,3230,tom,1.0,1.0,0.7615941517560215
human,large,seed44,2926,charles,0.0,0.0,0.0
human,large,seed44,2926,jeff,0.75,0.75,0.761594150356107
human,large,seed44,2926,jim,1.0,1.0,0.7615941517560215
human,large,seed44,2926,karen,0.0,0.0,0.0
human,large,seed44,2722,__NO_ANNOTATION__,,,
human,large,seed44,2702,ben,0.8,0.8,0.7615941507060856
human,large,seed44,2702,cameron,0.0,0.0,0.0
human,large,seed44,2400,audrey,0.5,0.5,0.7615941475562781
human,large,seed44,2400,cary,0.5,0.5,0.7615941475562781
human,large,seed44,2400,george,0.5,1.0,0.46211715332777115
human,large,seed44,2400,jacques,0.75,0.75,0.761594150356107
human,large,seed44,2400,ned,0.0,0.0,0.0
human,large,seed44,1467,anthony,0.75,0.75,0.761594150356107
human,large,seed44,1467,rosario,0.0,0.0,0.0
