model,prompt,seed,story_id,num_chains,avg_chain_size,coref_ratio
claude45,large,42,5062,9,5.111111111111111,0.5133522206104253
claude45,large,42,1214,7,6.0,0.6941496359503724
claude45,large,42,9914,13,3.3846153846153846,0.25444041987038785
claude45,large,42,515,9,5.333333333333333,0.5312857719178643
claude45,large,42,1467,6,4.833333333333333,0.6663867063780647
claude45,large,42,13683,5,5.8,0.8202838816974648
claude45,large,42,6921,6,6.0,0.7608944773789501
claude45,large,42,5047,2,2.0,0.7594968017461659
claude45,large,42,11543,6,3.3333333333333335,0.5039831266785365
claude45,large,42,7065,5,5.0,0.7607546086956449
claude45,large,42,1111,5,9.6,0.9576003809558136
claude45,large,42,948,10,4.1,0.38812484618825505
claude45,large,42,9418,9,4.666666666666667,0.47611087502006844
claude45,large,42,3295,9,5.0,0.5042127000567824
claude45,large,42,7150,6,2.3333333333333335,0.36984352628266143
claude45,large,42,345,10,2.5,0.24468387910399075
claude45,large,42,11678,10,3.3,0.3182245223383665
claude45,large,42,721,7,5.0,0.6127212478031274
claude45,large,42,733,6,6.666666666666667,0.8038014861305588
claude45,large,42,7195,8,5.25,0.5753145349040011
claude45,large,42,11457,4,3.5,0.70280303366564
claude45,large,42,12358,7,5.285714285714286,0.6375439926172
claude45,large,42,13596,3,10.666666666666666,0.9983304048763797
claude45,large,42,10499,9,5.222222222222222,0.5223767567494481
claude45,large,42,5721,8,3.375,0.3980657062931662
claude45,large,42,5201,6,4.333333333333333,0.6175410392444916
claude45,large,42,8085,13,3.6153846153846154,0.27095364884622025
claude45,large,42,2702,5,6.0,0.8329225598595321
claude45,large,42,6878,5,6.0,0.8329225598595321
claude45,large,42,1201,4,3.25,0.6698515564701782
claude45,large,42,5265,8,6.125,0.643818965886857
claude45,large,42,5540,7,4.0,0.5158096264117492
claude45,large,42,5349,7,5.714285714285714,0.6724280447565557
claude45,large,42,6215,10,3.4,0.3271741264131678
claude45,large,42,3761,8,5.5,0.5958202352150785
claude45,large,42,8154,10,4.0,0.37960699675273973
claude45,large,42,12423,10,4.4,0.4132800250613453
claude45,large,42,4797,10,3.1,0.3001553340369296
claude45,large,42,4047,6,6.666666666666667,0.8038014861305588
claude45,large,42,11541,11,3.5454545454545454,0.31133344920917017
claude45,large,42,3230,7,4.571428571428571,0.5731018606970495
claude45,large,42,10486,8,5.125,0.5647805343680173
gpt4o,original,42,2400,7,3.2857142857142856,0.4371630286577889
gpt4o,original,42,1201,4,3.75,0.7329915688790408
gpt4o,original,42,6729,8,3.125,0.37147861144380634
gpt4o,original,42,515,8,5.125,0.5647805343680173
gpt4o,original,42,4173,9,3.4444444444444446,0.3646956596528863
gpt4o,original,42,11340,4,5.75,0.8924661507026329
gpt4o,original,42,6215,6,4.833333333333333,0.6663867063780647
gpt4o,original,42,13596,5,6.4,0.8558027155778727
gpt4o,original,42,6847,7,3.857142857142857,0.500695837915262
gpt4o,original,42,3761,4,6.25,0.9151939249285582
gpt4o,original,42,723,6,6.0,0.7608944773789501
gpt4o,original,42,13683,5,5.4,0.7923983238844522
gpt4o,original,42,733,6,5.833333333333333,0.748969830450033
gpt4o,original,42,11260,9,2.888888888888889,0.31007772240079795
gpt4o,original,42,12423,5,6.0,0.8329225598595321
gpt4o,original,42,12358,5,3.6,0.616018324954511
gpt4o,original,42,2926,8,4.875,0.5431508858186228
gpt4o,original,42,2722,5,4.4,0.7055382777228413
gpt4o,original,42,6878,5,4.6,0.7250275395140692
gpt4o,original,42,10499,7,3.0,0.403615090127592
gpt4o,original,42,10408,9,3.7777777777777777,0.3963297763809756
gpt4o,original,42,345,5,4.2,0.6849199781029739
gpt4o,original,42,11678,6,4.166666666666667,0.6000907329398486
gpt4o,original,42,721,7,3.2857142857142856,0.4371630286577889
gpt4o,original,42,8085,9,3.0,0.3211809816372804
gpt4o,original,42,10486,7,4.0,0.5158096264117492
gpt4o,original,42,8061,6,4.0,0.5820499548410306
gpt4o,original,42,1467,5,4.2,0.6849199781029739
gpt4o,original,42,7150,7,4.0,0.5158096264117492
gpt4o,original,42,7065,7,4.571428571428571,0.5731018606970495
gpt4o,original,42,11541,6,4.333333333333333,0.6175410392444916
gpt4o,original,42,3891,5,3.2,0.5640291275177679
gpt4o,original,42,7195,7,3.7142857142857144,0.48527048008883217
gpt4o,original,42,6921,7,5.0,0.6127212478031274
gpt4o,original,42,5540,4,5.0,0.8474072141058118
gpt4o,original,42,8154,9,4.111111111111111,0.42705003345834885
gpt4o,original,42,11457,3,4.0,0.8689811246743774
gpt4o,original,42,6111,5,5.6,0.806789922025664
gpt4o,original,42,9914,5,3.8,0.6401825682277622
gpt4o,original,42,11543,9,3.0,0.3211809816372804
gpt4o,original,42,1214,3,7.333333333333333,0.9848100841020997
gpt4o,original,42,5721,10,2.5,0.24468387910399075
gpt4o,original,42,5047,4,2.5,0.5535195826486679
gpt4o,original,42,948,8,4.625,0.5207754938618373
gpt4o,original,42,5201,9,3.5555555555555554,0.3753390402210108
gpt4o,original,42,3230,5,5.2,0.7770670098724379
gpt4o,original,42,4047,3,7.666666666666667,0.9878094888255903
gpt4o,original,42,4797,8,2.75,0.33043887960173574
gpt4o,original,42,11719,2,10.0,0.9999045730276356
gpt4o,original,42,8551,5,3.0,0.5361968300109659
gpt4o,original,42,9418,5,5.8,0.8202838816974648
gpt4o,original,42,5062,5,5.0,0.7607546086956449
gpt4o,original,42,7596,5,5.4,0.7923983238844522
gpt4o,original,42,7702,5,5.4,0.7923983238844522
gpt4o,original,42,5265,4,11.75,0.9943157048337464
gpt4o,original,42,1111,4,6.0,0.9044700003543296
gpt4o,original,42,9334,3,6.0,0.9635551199895266
gpt4o,original,42,2702,3,6.666666666666667,0.9764441132252886
gpt4o,original,42,5349,7,3.0,0.403615090127592
gpt4o,original,42,3295,4,6.25,0.9151939249285582
gpt4o,large,42,10486,6,3.3333333333333335,0.5039831266785365
gpt4o,large,42,7065,4,5.25,0.8640796744146161
gpt4o,large,42,3230,4,4.5,0.808330888044811
gpt4o,large,42,345,4,4.0,0.760544847685396
gpt4o,large,42,5062,2,7.0,0.9981133843224367
gpt4o,large,42,723,3,6.333333333333333,0.9706895565769862
gpt4o,large,42,12423,5,4.2,0.6849199781029739
gpt4o,large,42,13683,6,4.5,0.6344038707697881
gpt4o,large,42,6215,5,3.6,0.616018324954511
gpt4o,large,42,6878,4,4.5,0.808330888044811
gpt4o,large,42,9418,6,5.0,0.68151993687585
gpt4o,large,42,10499,6,2.6666666666666665,0.41671074421007165
gpt4o,large,42,8154,9,4.111111111111111,0.42705003345834885
gpt4o,large,42,1111,5,3.6,0.616018324954511
gpt4o,large,42,8551,5,3.6,0.616018324954511
gpt4o,large,42,13596,3,7.0,0.9810797174732149
gpt4o,large,42,3295,5,4.6,0.7250275395140692
gpt4o,large,42,6921,7,4.0,0.5158096264117492
gpt4o,large,42,2926,7,4.857142857142857,0.599833913905728
gpt4o,large,42,8085,5,4.8,0.743420937403751
gpt4o,large,42,2400,7,3.857142857142857,0.500695837915262
gpt4o,large,42,11260,9,3.4444444444444446,0.3646956596528863
gpt4o,large,42,1214,3,5.0,0.9303691714681529
gpt4o,large,42,948,7,3.857142857142857,0.500695837915262
gpt4o,large,42,4047,5,4.4,0.7055382777228413
gpt4o,large,42,6111,7,3.857142857142857,0.500695837915262
gpt4o,large,42,2722,7,3.2857142857142856,0.4371630286577889
gpt4o,large,42,5721,8,3.75,0.4367153108489706
gpt4o,large,42,5047,2,3.0,0.9037905507796178
gpt4o,large,42,11678,7,3.4285714285714284,0.4534996043235448
gpt4o,large,42,721,8,2.75,0.33043887960173574
gpt4o,large,42,3761,4,4.5,0.808330888044811
gpt4o,large,42,1201,3,4.666666666666667,0.9138494194403485
gpt4o,large,42,2702,2,6.5,0.9968991101462736
gpt4o,large,42,11457,5,2.2,0.4129162032860138
gpt4o,large,42,12358,4,4.75,0.8288773922429453
gpt4o,large,42,7150,5,4.8,0.743420937403751
gpt4o,large,42,7596,5,5.2,0.7770670098724379
gpt4o,large,42,5265,5,7.6,0.9081674793916036
gpt4o,large,42,3891,6,4.0,0.5820499548410306
gpt4o,large,42,9914,6,4.5,0.6344038707697881
gpt4o,large,42,11340,3,5.333333333333333,0.9438141852691169
gpt4o,large,42,6847,6,4.333333333333333,0.6175410392444916
gpt4o,large,42,7702,6,4.333333333333333,0.6175410392444916
gpt4o,large,42,11541,3,3.3333333333333335,0.8031484075308158
gpt4o,large,42,4173,10,3.5,0.33606541993937755
gpt4o,large,42,10408,5,4.0,0.6631431205938949
gpt4o,large,42,5540,7,4.0,0.5158096264117492
gpt4o,large,42,9334,6,4.5,0.6344038707697881
gpt4o,large,42,8061,5,5.8,0.8202838816974648
gpt4o,large,42,5349,6,2.8333333333333335,0.43935924485967975
gpt4o,large,42,4797,10,3.0,0.29103832169071686
gpt4o,large,42,5201,5,4.6,0.7250275395140692
gpt4o,large,42,515,7,4.0,0.5158096264117492
gpt4o,large,42,11719,4,5.5,0.8790497469034001
gpt4o,large,42,1467,4,4.5,0.808330888044811
gpt4o,large,42,733,6,4.833333333333333,0.6663867063780647
gpt4o,large,42,11543,3,6.0,0.9635551199895266
gpt4o,large,42,6729,7,2.7142857142857144,0.36894555529406187
gpt4o,large,42,7195,7,3.0,0.403615090127592
internvl3,original,42,1111,8,6.375,0.6617272415453722
internvl3,original,42,3761,6,5.333333333333333,0.7101120599669639
internvl3,original,42,6847,6,4.833333333333333,0.6663867063780647
internvl3,original,42,13596,5,8.8,0.9421093490398186
internvl3,original,42,8085,9,4.222222222222222,0.4370796780610105
internvl3,original,42,6878,6,5.833333333333333,0.748969830450033
internvl3,original,42,1201,5,4.8,0.743420937403751
