model,story_id,tc,ic,mcc_raw_char,MCC
qwen3vl,11340,1.0,1.0,0.3333333333333333,0.2538647186519216
qwen3vl,11457,,,0.0,0.0
qwen3vl,11541,,,0.0,0.0
qwen3vl,11543,,,0.0,0.0
qwen3vl,11678,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
qwen3vl,11719,0.7,0.625,0.925,0.7280404607365143
qwen3vl,12358,,,0.0,0.0
qwen3vl,12423,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.6965558988304875
qwen3vl,13596,1.0,1.0,1.0,0.7615941559557649
qwen3vl,13683,0.7291666666666666,0.8958333333333334,0.8333333333333333,0.6721885506518375
