model,prompt,story_id,mcc_raw,MCC
llama4scout,original,1214,0.0,0.0
llama4scout,original,8154,0.95,0.7397830512740042
llama4scout,original,948,0.8291666666666666,0.6800282919964505
llama4scout,original,10486,0.375,0.35835739835078595
llama4scout,original,9334,0.0,0.0
llama4scout,original,8085,0.0,0.0
llama4scout,original,7150,0.0,0.0
llama4scout,original,2722,,
llama4scout,original,11719,0.0,0.0
llama4scout,original,6729,0.0,0.0
llama4scout,original,5265,0.0,0.0
llama4scout,original,1111,,
llama4scout,original,11340,0.0,0.0
llama4scout,original,3295,0.0,0.0
llama4scout,original,11457,,
llama4scout,original,8061,0.5988095238095238,0.5362019090688223
llama4scout,original,6847,0.0,0.0
llama4scout,original,6878,0.0,0.0
llama4scout,original,9914,0.0,0.0
llama4scout,large,2400,0.2,0.197375320224904
llama4scout,large,5062,,
llama4scout,large,1214,0.35,0.3363755443363322
llama4scout,large,515,0.7138047138047138,0.6130571272006384
llama4scout,large,11340,0.3333333333333333,0.32151273753163434
llama4scout,large,10499,0.0,0.0
llama4scout,large,9334,0.0,0.0
llama4scout,large,5201,0.09318181818181819,0.09291305696685917
llama4scout,large,6111,0.0,0.0
llama4scout,large,2926,0.0,0.0
llama4scout,large,2702,0.0,0.0
llama4scout,large,1111,,
llama4scout,large,948,0.25,0.24491866240370913
llama4scout,large,345,0.9,0.7162978701990245
llama4scout,large,721,0.0,0.0
llama4scout,large,8085,0.375,0.35835739835078595
llama4scout,large,4797,0.5,0.46211715726000974
llama4scout,large,1467,1.0,0.7615941559557649
llama4scout,large,3761,0.0,0.0
llama4scout,large,11260,0.9444444444444445,0.7372575809383864
llama4scout,large,4047,,
llama4scout,large,6878,0.6,0.5370495669980352
llama4scout,large,7596,0.0,0.0
llama4scout,large,6729,0.0,0.0
llama4scout,large,5349,0.4,0.3799489622552249
llama4scout,large,10486,0.7916666666666667,0.6593521627123083
llama4scout,large,7150,0.0,0.0
llama4scout,large,9418,0.0,0.0
llama4scout,large,11543,,
llama4scout,large,8154,0.7566666666666666,0.6391093627665675
llama4scout,large,3230,0.25,0.24491866240370913
llama4scout,large,3891,0.8166666666666667,0.6732515209732411
llama4scout,large,4173,0.425,0.4011342849479459
llama4scout,large,11541,,
llama4scout,large,7195,0.3333333333333333,0.32151273753163434
llama4scout,large,5265,0.45,0.4218990052500079
llama4scout,large,7065,0.8,0.664036770267849
llama4scout,large,11457,,
llama4scout,large,2722,,
llama4scout,large,11719,0.0,0.0
llama4scout,large,3295,0.7666666666666666,0.6449869945758523
llama4scout,large,723,0.625,0.5545997223493823
llama4scout,large,733,0.0,0.0
llama4scout,large,5540,,
llama4scout,large,6215,0.0,0.0
llama4scout,large,12358,,
llama4scout,large,5047,,
llama4scout,large,6921,0.0,0.0
llama4scout,large,13683,0.0,0.0
llama4scout,large,6847,0.8222222222222223,0.6762775737016603
llama4scout,large,11678,0.3333333333333333,0.32151273753163434
llama4scout,large,8551,,
llama4scout,large,10408,0.5541666666666667,0.5036365254057835
llama4scout,large,1201,,
llama4scout,large,9914,0.0,0.0
llama4scout,large,7702,0.5,0.46211715726000974
llama4scout,large,13596,1.0,0.7615941559557649
llama4scout,large,8061,0.8873015873015873,0.710058374473723
llama4scout,large,12423,0.26666666666666666,0.2605204458355026
llama4scout,large,5721,,
qwen3vl,original,733,0.9,0.7162978701990245
qwen3vl,original,8154,0.55,0.5005202111902353
qwen3vl,original,3230,0.95,0.7397830512740042
