model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
claude45,original,5062,0.8257022457267339,0.0,0.0,1.0
claude45,original,3891,0.8246378791089741,0.3807970779778824,0.431529698106738,0.9740357417981736
claude45,original,5721,0.7206500961584759,0.0,0.0,1.0
claude45,original,11457,0.5541152146299628,0.0,0.0,1.0
claude45,original,6921,0.7205002815043191,0.6247687005508582,0.6999139287138414,0.8188203672031921
claude45,original,12423,0.9064442548122432,0.7290750273931262,0.6664472810833169,0.8463884159333958
claude45,original,7150,0.8211326991295587,0.4752103087412045,0.5217383652789046,0.9388114696733773
claude45,original,6729,0.8176038679250778,0.4148608510916141,0.4679251883192847,0.9619047360576795
claude45,original,8551,0.7408058438756867,0.0,0.0,1.0
claude45,original,1201,0.8635632663495157,0.0,0.0,1.0
claude45,original,11719,0.6542941028178765,0.6197583647522253,0.7385204339986441,0.7840219834024502
claude45,original,8154,0.6132291665074436,0.7615941559557649,0.8460081312486807,0.666929121146768
claude45,original,4047,0.9015741823793468,0.0,0.0,1.0
claude45,original,8085,0.852944370165435,0.741761064526366,0.7011950599904188,0.8177179593530379
claude45,original,6111,0.606490533394959,0.4328812409846,0.6130215510390647,0.8855795221611078
claude45,large,1111,0.7854492583737184,0.0,0.0,1.0
claude45,large,13596,0.682551150876437,0.7615941559557649,0.8061048890346301,0.7144492665477125
claude45,large,3891,0.8705186870482873,0.3807970779778824,0.41151771700480805,0.9795387622023647
claude45,large,4047,0.8860232189714101,0.0,0.0,1.0
claude45,large,7150,0.7567679690271805,0.4752103087412045,0.5566370615015025,0.9205303310192267
claude45,large,1201,0.6954043469470542,0.0,0.0,1.0
claude45,large,5201,0.6047471773463671,0.6092753247646119,0.7647208895239134,0.7584551812848881
claude45,large,8551,0.7176345825246664,0.0,0.0,1.0
claude45,large,515,0.8339339893812666,0.7231351212763357,0.6999166493516763,0.8188180313730345
claude45,large,2926,0.7306807857580961,0.4374450164358757,0.5361106304979074,0.9315962780362531
claude45,large,9914,0.8390286579555596,0.4979127931025391,0.532364856554482,0.9335191515556808
claude45,large,11340,0.8230801686250482,0.1790165223326784,0.21413001557867664,0.9997970460533906
claude45,large,948,0.8941427278971755,0.502244210405973,0.5092411812947646,0.944726842729756
claude45,large,12423,0.8897936495770112,0.4346814548458229,0.4530405003036105,0.9672021035503583
claude45,large,6847,0.7957752825302182,0.7194457547662724,0.7182794402757188,0.8026776570828943
claude45,large,8154,0.5557441589305548,0.6018198307874847,0.7942750172249275,0.7275204482780724
claude45,large,1467,0.5829244033898975,0.7615941559557649,0.8633886204928746,0.6442468429251046
claude45,large,11543,0.8455047879199137,0.0,0.0,1.0
claude45,large,4797,0.7418629022633398,0.3807970779778824,0.4725111991496946,0.9601779034942488
claude45,large,733,0.7338699824062108,0.7128154631118069,0.7492795114492393,0.7737226240971903
claude45,large,8061,0.6198465659841269,0.7295070165407852,0.826476495537912,0.6909015666137073
claude45,large,721,0.7716404152012826,0.5711956169668236,0.6292874089935223,0.8742705995420423
claude45,large,5265,0.7884326973555179,0.2692597121012037,0.3288271211734849,0.9942927008770879
claude45,large,11719,0.6771660641928514,0.6983715541715261,0.7744352194027431,0.7485441947279644
claude45,large,11457,0.4125925993960007,0.0,0.0,1.0
claude45,large,8085,0.9134282757033731,0.1155292893150024,0.12580863933308017,0.9999997286296841
claude45,large,345,0.7491702391897389,0.3807970779778824,0.4686131671540566,0.9616485339524743
claude45,large,10408,0.785650422934037,0.5711956169668236,0.6212482404283081,0.8799280786832333
claude45,large,5062,0.7707464240931161,0.0,0.0,1.0
claude45,large,4173,0.7908630810076285,0.3621583430350643,0.4283939596174101,0.9749518363180016
claude45,large,6878,0.5692443662057449,0.7321442233518527,0.858119770655973,0.6512711785977172
claude45,large,10486,0.8149647351289828,0.6983715541715261,0.6946749701762491,0.8232919718290884
